customer_tweet_id,company_tweet_id,customer_text,company_text,created_at,is_dm_deflect,substantive
2081952,2081951,is manage my booking down? Need to check in for flight,"Sorry for the late reply, Bev. We're not aware of any issues online. If you can't check in, our staff at the airport will be able to help.",Tue Oct 10 15:06:22 +0000 2017,False,True
1572509,1572507,"Last Friday BA0172 Boarding chaos Breakfast , just a malt loaf bar? 1 case never made the flight Won't use BA again,poor!",about the boarding of the flight and catering to our Customer Experience team. Have you now received your delayed bag? ^Kev 2/2,Sat Nov 04 00:53:18 +0000 2017,False,True
2171993,2171991,Well thanks 👌🏼👌🏼 that’s all I wanted when the seats are pretty much gone 😒🙄,"We're sorry you've been unable to select your seat, Charlotte. How long is it before your flight? ^Teresa",Fri Nov 03 21:21:03 +0000 2017,False,True
618712,618710,I’m flying to USA with your airline &amp; transits at London. Agent tells me there’s extra airport fees to go in/out Heathrow during layover. I thought airport fees r inclusive in fare? I don’t need visa to enter the UK,We recommend that you speak to your agent as they may have added their own terms and conditions to the ticket. We can't view them on our system. ^Julie,Wed Nov 22 11:08:44 +0000 2017,False,True
1533455,1533454,tell me how this works? You're coning us into thinking you have an actual sale. Explain the pictures to me. How do u go from R588 to R773 when I added nothing extra? 😒,"Hi, on the page you select your flights, we do advise the total price will be on the next page. We've reported this to our IT team in case there's a fault, however. ^Cecilia",Sat Nov 25 11:32:40 +0000 2017,False,True
676745,676746,Well why was it still being offered today? If you go into a shop and something has been incorrectly labelled that price is honoured. Not only do you want to charge me 3 times more... you still have the same offer today!,you to contact a BA representative to look into this and advise that the offer is no longer available and the online system can take time to update in accordance with availability. Your comments have already been fed back to our Customer Experience 2/3,Thu Nov 16 15:08:31 +0000 2017,False,True
567858,567857,Next stop Phoenix via LHR first time on in a couple of years lets see if their service and planes have improved #ba,"Hi Jim. We're looking forward to having you on board. It's been a while, but hopefully we can show you just how good our service can be. have a wonderful journey. ^Neil",Sat Dec 02 21:13:57 +0000 2017,False,True
350839,350838,What's your policy re cash purchases of air tickets. Is it a no no these days?,"Hi Deirdre, most of our ticket desks don't take cash any longer. If you wanted to pay this way, you'd need to do so through a travel agent.",Sun Oct 08 00:11:12 +0000 2017,False,True
1546494,1546493,Another great flight from JFK on the 178. Sophie was great and kept my wine topped up!!! Food tasty as well!!,"Thanks for the great feedback, we'll be sure to pass on your comments. ^Teresa",Fri Nov 03 20:12:25 +0000 2017,False,True
1966826,1966827,my family were overwhelmed with your staff &amp; hospitality Manch to Billund. Outstanding service for such a short flight! 😙,"you ever need any assistance or reassurance again, please don't hesitate to get back in touch with us. 2/2 ^Sophie",Tue Oct 31 08:39:17 +0000 2017,False,True
654602,654601,Another horrific service experience,further training will be provided where required. Please accept our apologies for letting you down on this occasion. 2/2 ^L,Thu Oct 05 07:25:58 +0000 2017,False,True
1827116,1827115,"Hey BA. Can you please deal with my query (Incident: 170914-001563), its been over a month since your initial response!","Hi Michael, please accept our apologies for the delay. You should have received an email this morning from our Customer Relations team. ^L",Sun Oct 15 15:15:30 +0000 2017,False,True
